district_number,electoral_district,electoral_district_fre,party,party_fre,family_name,first_name,camp_phone,climate_change,affordability,education,housing,,,,,,
24068,Saint-Laurent,Saint-Laurent,Marxist-Leninist Party of Canada,Parti Marxiste-LÈniniste du Canada,Boutet,Ginette,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24068,Saint-Laurent,Saint-Laurent,New Democratic Party,Nouveau Parti dÈmocratique,Gallo,Miranda,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24068,Saint-Laurent,Saint-Laurent,Green Party of Canada,Le Parti Vert du Canada,Kokotsis,Georgia,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24068,Saint-Laurent,Saint-Laurent,Liberal Party of Canada,Parti libÈral du Canada,Lambropoulos,Emmanuella,(514) 375-5230,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24068,Saint-Laurent,Saint-Laurent,People's Party of Canada,Parti populaire du Canada,Mikus,Christopher,(438) 881-6134,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24068,Saint-Laurent,Saint-Laurent,Bloc QuÈbÈcois,Bloc QuÈbÈcois,Miljours,ThÈrËse,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24068,Saint-Laurent,Saint-Laurent,Conservative Party of Canada,Parti conservateur du Canada,Serour,Richard,(438) 386-1234,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24069,Saint-LÈonard--Saint-Michel,Saint-LÈonard--Saint-Michel,New Democratic Party,Nouveau Parti dÈmocratique,Ayala,Paulina,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24069,Saint-LÈonard--Saint-Michel,Saint-LÈonard--Saint-Michel,Marxist-Leninist Party of Canada,Parti Marxiste-LÈniniste du Canada,Colly,Garnet,(613) 792-4475,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24069,Saint-LÈonard--Saint-Michel,Saint-LÈonard--Saint-Michel,People's Party of Canada,Parti populaire du Canada,Di Serio,Tina,(514) 726-9725,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24069,Saint-LÈonard--Saint-Michel,Saint-LÈonard--Saint-Michel,Independent,IndÈpendant(e),Guillet,Hassan,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24069,Saint-LÈonard--Saint-Michel,Saint-LÈonard--Saint-Michel,Liberal Party of Canada,Parti libÈral du Canada,Lattanzio,Patricia,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24069,Saint-LÈonard--Saint-Michel,Saint-LÈonard--Saint-Michel,Conservative Party of Canada,Parti conservateur du Canada,Maiolo,Ilario,(438) 227-4852,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24069,Saint-LÈonard--Saint-Michel,Saint-LÈonard--Saint-Michel,Bloc QuÈbÈcois,Bloc QuÈbÈcois,Mougin,Dominique,(514) 346-3843,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24069,Saint-LÈonard--Saint-Michel,Saint-LÈonard--Saint-Michel,Green Party of Canada,Le Parti Vert du Canada,Szilagyi,Alessandra,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,New Democratic Party,Nouveau Parti dÈmocratique,BoisguÈrin,BarthÈlÈmy,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Liberal Party of Canada,Parti libÈral du Canada,Champagne,FranÁois-Philippe,(819) 489-2459,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Conservative Party of Canada,Parti conservateur du Canada,Courchesne,Bruno-Pier,(819) 386-8177,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,People's Party of Canada,Parti populaire du Canada,DÈziel,Julie,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Green Party of Canada,Le Parti Vert du Canada,Dufresne,StÈphanie,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Bloc QuÈbÈcois,Bloc QuÈbÈcois,Morin,Nicole,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24071,Salaberry--SuroÓt,Salaberry--SuroÓt,Green Party of Canada,Le Parti Vert du Canada,AlShawa,Nahed,(438) 832-9009,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24071,Salaberry--SuroÓt,Salaberry--SuroÓt,Parti pour l'IndÈpendance du QuÈbec,Parti pour l'IndÈpendance du QuÈbec,Bertrand,Luc,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24071,Salaberry--SuroÓt,Salaberry--SuroÓt,Bloc QuÈbÈcois,Bloc QuÈbÈcois,Debellefeuille,Claude,(450) 377-8992,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24071,Salaberry--SuroÓt,Salaberry--SuroÓt,Liberal Party of Canada,Parti libÈral du Canada,Faubert,Marc,(450) 322-6066,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24071,Salaberry--SuroÓt,Salaberry--SuroÓt,New Democratic Party,Nouveau Parti dÈmocratique,Gottman,Joan,(450) 322-1118,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24071,Salaberry--SuroÓt,Salaberry--SuroÓt,Conservative Party of Canada,Parti conservateur du Canada,LariviËre,Cynthia,(438) 520-1104,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24071,Salaberry--SuroÓt,Salaberry--SuroÓt,People's Party of Canada,Parti populaire du Canada,Savard,Alain,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24072,Shefford,Shefford,Liberal Party of Canada,Parti libÈral du Canada,Breton,Pierre,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
24072,Shefford,Shefford,Conservative Party of Canada,Parti conservateur du Canada,Clermont,Nathalie,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
